Pierre-Emerick Aubameyang	Pierre-Emerick_Aubameyang
Piet Keizer	Piet_Keizer
Pirri	Pirri
Preben Elkjær	Preben_Elkjær
Predrag Mijatović	Predrag_Mijatović
Radamel Falcao	Radamel_Falcao
Radek Bejbl	Radek_Bejbl
Rafael Gordillo	Rafael_Gordillo
Rafael Leão	Rafael_Leão
Rafael Martín Vázquez	Rafael_Martín_Vázquez
Rafael van der Vaart	Rafael_van_der_Vaart
Raheem Sterling	Raheem_Sterling
Rainer Bonhof	Rainer_Bonhof
Ralf Edström	Ralf_Edström
Ramaz Shengelia	Ramaz_Shengelia
Randal Kolo Muani	Randal_Kolo_Muani
Raphaël Varane	Raphaël_Varane
Raphinha	Raphinha
Ray Kennedy	Ray_Kennedy
Raymond Kopa	Raymond_Kopa
Raí	Raí
Raúl	Raúl
René van de Kerkhof	René_van_de_Kerkhof
Ricardo Carvalho	Ricardo_Carvalho
Ricardo Quaresma	Ricardo_Quaresma
Rinat Dasayev	Rinat_Dasayev
Rinus Israël	Rinus_Israël
Rio Ferdinand	Rio_Ferdinand
Rivaldo	Rivaldo
Riyad Mahrez	Riyad_Mahrez
Rob Rensenbrink	Rob_Rensenbrink
Robby Langers	Robby_Langers
Robert Gadocha	Robert_Gadocha
Robert Herbin	Robert_Herbin
Robert Jonquet	Robert_Jonquet
Robert Lewandowski	Robert_Lewandowski
Robert Pires	Robert_Pires
Robert Prosinečki	Robert_Prosinečki
Roberto Baggio	Roberto_Baggio
Roberto Bettega	Roberto_Bettega
Roberto Carlos	Roberto_Carlos
Roberto Firmino	Roberto_Firmino
Roberto Mancini	Roberto_Mancini
Robin van Persie	Robin_van_Persie
Robinho	Robinho
Rodion Cămătaru	Rodion_Cămătaru
Rodri	Rodri
Roger Marche	Roger_Marche
Roger Piantoni	Roger_Piantoni
Rogério Ceni	Rogério_Ceni
Roland Sandberg	Roland_Sandberg
Romelu Lukaku	Romelu_Lukaku
Ronald Koeman	Ronald_Koeman
Ronald de Boer	Ronald_de_Boer
Ronaldinho	Ronaldinho
Ronaldo	Ronaldo
Ronnie Hellström	Ronnie_Hellström
Roy Keane	Roy_Keane
Roy Makaay	Roy_Makaay
Rubén Baraja	Rubén_Baraja
Rudi Völler	Rudi_Völler
Rudolf Kučera	Rudolf_Kučera
Rui Costa	Rui_Costa
Rui Jordão	Rui_Jordão
Rui Patrício	Rui_Patrício
Rune Bratseth	Rune_Bratseth
Ruud Geels	Ruud_Geels
Ruud Gullit	Ruud_Gullit
Ruud Krol	Ruud_Krol
Ruud van Nistelrooy	Ruud_van_Nistelrooy
Ryan Giggs	Ryan_Giggs
Rúben Dias	Rúben_Dias
Sadio Mané	Sadio_Mané
Safet Sušić	Safet_Sušić
Salvatore Schillaci	Salvatore_Schillaci
Sami Hyypiä	Sami_Hyypiä
Samuel Eto'o	Samuel_Eto'o
Samuel Kuffour	Samuel_Kuffour
Sandro Mazzola	Sandro_Mazzola
Santillana	Santillana
Scott McTominay	Scott_McTominay
Sepp Maier	Sepp_Maier
Sergei Kiriakov	Sergei_Kiriakov
Sergi	Sergi
Sergio Agüero	Sergio_Agüero
Sergio Busquets	Sergio_Busquets
Sergio Ramos	Sergio_Ramos
Serhou Guirassy	Serhou_Guirassy
Shunsuke Nakamura	Shunsuke_Nakamura
Sigfried Held	Sigfried_Held
Silviu Lung	Silviu_Lung
Simon Kjær	Simon_Kjær
Simon Tahamata	Simon_Tahamata
Siniša Mihajlović	Siniša_Mihajlović
Slava Metreveli	Slava_Metreveli
Sokol Kushta	Sokol_Kushta
Son Heung-min	Son_Heung-min
Sonny Anderson	Sonny_Anderson
Stanley Matthews	Stanley_Matthews
Stefan Bozhkov	Stefan_Bozhkov
Stefan Effenberg	Stefan_Effenberg
Stelios Manolas	Stelios_Manolas
Steve Archibald	Steve_Archibald
Steve Heighway	Steve_Heighway
Steven Gerrard	Steven_Gerrard
Stoycho Mladenov	Stoycho_Mladenov
Stéphane Chapuisat	Stéphane_Chapuisat
Svatopluk Pluskal	Svatopluk_Pluskal
Sándor Kocsis	Sándor_Kocsis
Sébastien Haller	Sébastien_Haller
